fecha	hora	mi variable 1	mi variable 2	variable constante 1	variable aleatoria 1	mi variable sinusoidal 1
17-07-2018	00:00:09	1.000000	2.000000	1.000000	0.845221	19.675464
17-07-2018	00:01:09	1.000000	2.000000	1.000000	-3.579154	19.926225
17-07-2018	00:02:09	1.000000	2.000000	1.000000	2.229001	18.782767
17-07-2018	00:03:09	1.000000	2.000000	1.000000	1.012038	16.405682
17-07-2018	00:04:09	1.000000	2.000000	1.000000	-9.690632	13.128861
17-07-2018	00:05:09	1.000000	2.000000	1.000000	-0.497822	9.412585
17-07-2018	00:06:09	1.000000	2.000000	1.000000	-2.664959	5.778796
17-07-2018	00:07:09	1.000000	2.000000	1.000000	-3.716079	2.737924
17-07-2018	00:08:09	1.000000	2.000000	1.000000	8.668044	0.717068
17-07-2018	00:09:09	1.000000	2.000000	1.000000	8.195922	0.000080
17-07-2018	00:10:09	1.000000	2.000000	1.000000	-5.418750	0.687664
17-07-2018	00:11:09	1.000000	2.000000	1.000000	-4.891572	2.683231
17-07-2018	00:12:09	1.000000	2.000000	1.000000	7.808922	5.706497
17-07-2018	00:13:09	1.000000	2.000000	1.000000	8.275452	9.332844
17-07-2018	00:14:09	1.000000	2.000000	1.000000	-1.963180	13.052900
17-07-2018	00:15:09	1.000000	2.000000	1.000000	-5.227247	16.344149
17-07-2018	00:16:09	1.000000	2.000000	1.000000	4.687991	18.744299
17-07-2018	00:17:09	1.000000	2.000000	1.000000	-7.611711	19.916227
17-07-2018	00:18:09	1.000000	2.000000	1.000000	5.911051	19.695334
17-07-2018	00:19:09	1.000000	2.000000	1.000000	3.221324	18.112648
17-07-2018	00:20:09	1.000000	2.000000	1.000000	-4.147870	15.390470
17-07-2018	00:21:09	1.000000	2.000000	1.000000	-3.276478	11.911159
17-07-2018	00:22:09	1.000000	2.000000	1.000000	1.981208	8.163394
17-07-2018	00:23:09	1.000000	2.000000	1.000000	1.897762	4.673608
17-07-2018	00:24:09	1.000000	2.000000	1.000000	8.468354	1.931955
17-07-2018	00:25:09	1.000000	2.000000	1.000000	6.741759	0.323538
17-07-2018	00:26:09	1.000000	2.000000	1.000000	6.274294	0.074254
17-07-2018	00:27:09	1.000000	2.000000	1.000000	3.466239	1.219121
17-07-2018	00:28:09	1.000000	2.000000	1.000000	1.441617	3.597339
17-07-2018	00:29:09	1.000000	2.000000	1.000000	-4.694778	6.874861
17-07-2018	00:30:09	1.000000	2.000000	1.000000	7.996744	10.591322
17-07-2018	00:31:09	1.000000	2.000000	1.000000	1.991911	14.224740
17-07-2018	00:32:09	1.000000	2.000000	1.000000	-2.912359	17.264753
17-07-2018	00:33:09	1.000000	2.000000	1.000000	1.290723	19.284377
17-07-2018	00:34:09	1.000000	2.000000	1.000000	-8.536880	19.999935
17-07-2018	00:35:09	1.000000	2.000000	1.000000	0.691666	19.310923
17-07-2018	00:36:09	1.000000	2.000000	1.000000	-0.432968	17.314120
17-07-2018	00:37:09	1.000000	2.000000	1.000000	-9.852880	14.289980
17-07-2018	00:38:09	1.000000	2.000000	1.000000	-1.110901	10.663297
17-07-2018	00:39:09	1.000000	2.000000	1.000000	2.302522	6.943456
17-07-2018	00:40:09	1.000000	2.000000	1.000000	8.054311	3.652915
17-07-2018	00:41:09	1.000000	2.000000	1.000000	5.830411	1.253865
17-07-2018	00:42:09	1.000000	2.000000	1.000000	4.708793	0.083284
17-07-2018	00:43:09	1.000000	2.000000	1.000000	2.911979	0.305597
17-07-2018	00:44:09	1.000000	2.000000	1.000000	-2.230334	1.889572
17-07-2018	00:45:09	1.000000	2.000000	1.000000	7.530316	4.612726
17-07-2018	00:46:09	1.000000	2.000000	1.000000	-3.322762	8.092571
17-07-2018	00:47:09	1.000000	2.000000	1.000000	6.484212	11.840346
17-07-2018	00:48:09	1.000000	2.000000	1.000000	9.755946	15.329636
17-07-2018	00:49:09	1.000000	2.000000	1.000000	-3.812264	18.070293
17-07-2018	00:50:09	1.000000	2.000000	1.000000	-3.208759	19.677427
17-07-2018	00:51:09	1.000000	2.000000	1.000000	8.461835	19.925278
17-07-2018	00:52:09	1.000000	2.000000	1.000000	1.658436	18.779030
17-07-2018	00:53:09	1.000000	2.000000	1.000000	-1.616118	16.399691
17-07-2018	00:54:09	1.000000	2.000000	1.000000	5.096711	13.121446
17-07-2018	00:55:09	1.000000	2.000000	1.000000	7.210418	9.404776
17-07-2018	00:56:09	1.000000	2.000000	1.000000	0.207536	5.771704
17-07-2018	00:57:09	1.000000	2.000000	1.000000	-4.995281	2.732547
17-07-2018	00:58:09	1.000000	2.000000	1.000000	-7.082661	0.714170
17-07-2018	00:59:09	1.000000	2.000000	1.000000	-6.798052	0.000052
17-07-2018	01:00:09	1.000000	2.000000	1.000000	-8.580492	0.690508
17-07-2018	01:01:09	1.000000	2.000000	1.000000	-8.561764	2.688543
17-07-2018	01:02:09	1.000000	2.000000	1.000000	4.352065	5.713568
17-07-2018	01:03:09	1.000000	2.000000	1.000000	-8.834681	9.340658
17-07-2018	01:04:09	1.000000	2.000000	1.000000	8.602652	13.060358
17-07-2018	01:05:09	1.000000	2.000000	1.000000	8.115059	16.350197
17-07-2018	01:06:09	1.000000	2.000000	1.000000	9.995102	18.748093
17-07-2018	01:07:09	1.000000	2.000000	1.000000	-4.669623	19.917237
