fecha	hora	variable with a constant value	random variable with an uniform probability distribution	mi variable sinusoidal 1	Current volume in the tank	Input flow [l/min]	water consumption	electrovalve activation variable
19-07-2018	09:23:14	1.000000	4.523761	8.282628	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	09:24:14	1.000000	9.376786	4.776592	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	09:25:14	1.000000	8.004308	2.004199	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	09:26:14	1.000000	0.767980	0.354858	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	09:27:49	1.000000	7.316826	8.282650	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	09:28:49	1.000000	5.803234	4.776592	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	09:29:49	1.000000	2.751767	2.004197	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	09:30:49	1.000000	9.210446	0.354843	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	09:31:49	1.000000	-7.884692	0.060232	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	09:32:49	1.000000	-7.434450	1.161727	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	09:33:49	1.000000	7.200828	3.504610	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	09:34:49	1.000000	-4.472433	6.759796	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	09:35:49	1.000000	-5.477544	10.470095	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	09:36:49	1.000000	8.483649	14.114340	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	09:38:47	1.000000	-8.418940	8.282693	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	09:39:47	1.000000	2.067381	4.251486	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	09:40:47	1.000000	-2.830718	2.004225	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	09:41:47	1.000000	-7.693270	0.354858	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	09:42:47	1.000000	4.345960	0.060223	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	09:43:47	1.000000	-1.369786	1.161702	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	09:44:47	1.000000	-3.151567	3.504607	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	09:45:47	1.000000	9.158317	6.759802	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	09:46:47	1.000000	7.063394	10.470120	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	09:48:50	1.000000	-2.807128	8.282654	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	09:49:50	1.000000	4.917307	4.776596	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	09:50:50	1.000000	-6.856406	2.004189	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	09:51:50	1.000000	9.471830	0.354840	1000.000000	1000.000000	500.000000	0.000000
